step,energy,energy_drive,novelty,novelty_drive,safety,safety_drive,visited,exploration_pct
1,0.797,0.0,1.0,0.19999999999999996,0.8,0.6000000000000001,0,0.0
2,0.794,0.0,1.0,0.19999999999999996,0.96,0.76,0,0.0
3,0.791,0.0,1.0,0.19999999999999996,0.992,0.792,0,0.0
4,0.788,0.0,1.0,0.19999999999999996,0.9423999999999999,0.7424,0,0.0
5,0.785,0.0,1.0,0.19999999999999996,0.98848,0.7884800000000001,0,0.0
6,0.782,0.0,1.0,0.19999999999999996,0.997696,0.797696,0,0.0
7,0.779,0.0,1.0,0.19999999999999996,0.9995392,0.7995391999999999,0,0.0
8,0.776,0.0,1.0,0.19999999999999996,0.99990784,0.7999078399999999,0,0.0
9,0.773,0.0,1.0,0.19999999999999996,0.999981568,0.799981568,0,0.0
10,0.77,0.0,1.0,0.19999999999999996,0.9999963136,0.7999963135999999,0,0.0
11,0.767,0.0,1.0,0.19999999999999996,0.99999926272,0.7999992627199999,0,0.0
12,0.764,0.0,1.0,0.19999999999999996,0.999999852544,0.799999852544,0,0.0
13,0.761,0.0,1.0,0.19999999999999996,0.9499998599168,0.7499998599168001,0,0.0
14,0.758,0.0,1.0,0.19999999999999996,0.90249986692096,0.7024998669209599,0,0.0
15,0.755,0.0,1.0,0.19999999999999996,0.8573748735749119,0.6573748735749119,0,0.0
16,0.752,0.0,1.0,0.19999999999999996,0.8145061298961663,0.6145061298961663,0,0.0
17,0.749,0.0,1.0,0.19999999999999996,0.773780823401358,0.5737808234013579,0,0.0
18,0.746,0.0,1.0,0.19999999999999996,0.7350917822312901,0.5350917822312902,0,0.0
19,0.743,0.0,1.0,0.19999999999999996,0.6983371931197256,0.49833719311972563,0,0.0
20,0.74,0.0,1.0,0.19999999999999996,0.6634203334637393,0.4634203334637393,0,0.0
21,0.737,0.0,1.0,0.19999999999999996,0.6302493167905523,0.4302493167905523,0,0.0
22,0.734,0.0,1.0,0.19999999999999996,0.5987368509510247,0.3987368509510247,0,0.0
23,0.731,0.0,1.0,0.19999999999999996,0.5688000084034734,0.36880000840347343,0,0.0
24,0.728,0.0,1.0,0.19999999999999996,0.5403600079832998,0.34036000798329974,0,0.0
25,0.725,0.0,1.0,0.19999999999999996,0.5133420075841347,0.3133420075841347,0,0.0
26,0.722,0.0,1.0,0.19999999999999996,0.48767490720492795,0.28767490720492794,0,0.0
27,0.719,0.0,1.0,0.19999999999999996,0.46329116184468155,0.26329116184468154,0,0.0
28,0.716,0.0,1.0,0.19999999999999996,0.44012660375244744,0.24012660375244743,0,0.0
29,0.713,0.0,1.0,0.19999999999999996,0.41812027356482506,0.21812027356482505,0,0.0
30,0.71,0.0,1.0,0.19999999999999996,0.39721425988658376,0.19721425988658375,0,0.0
31,0.707,0.0,1.0,0.19999999999999996,0.37735354689225453,0.17735354689225452,0,0.0
32,0.704,0.0,1.0,0.19999999999999996,0.3584858695476418,0.15848586954764177,0,0.0
33,0.701,0.0,1.0,0.19999999999999996,0.8716971739095283,0.6716971739095283,0,0.0
34,0.698,0.0,1.0,0.19999999999999996,0.9743394347819057,0.7743394347819057,0,0.0
35,0.695,0.0,1.0,0.19999999999999996,0.9948678869563812,0.7948678869563812,0,0.0
36,0.692,0.0,1.0,0.19999999999999996,0.9451244926085621,0.7451244926085621,0,0.0
37,0.689,0.0,1.0,0.19999999999999996,0.897868267978134,0.6978682679781341,0,0.0
38,0.6859999999999999,0.0,1.0,0.19999999999999996,0.8529748545792273,0.6529748545792273,0,0.0
39,0.6829999999999999,0.0,1.0,0.19999999999999996,0.8103261118502659,0.6103261118502659,0,0.0
40,0.6799999999999999,0.0,1.0,0.19999999999999996,0.7698098062577526,0.5698098062577526,0,0.0
41,0.6769999999999999,0.0,1.0,0.19999999999999996,0.731319315944865,0.531319315944865,0,0.0
42,0.6739999999999999,0.0,1.0,0.19999999999999996,0.6947533501476217,0.49475335014762173,0,0.0
43,0.6709999999999999,0.0,1.0,0.19999999999999996,0.6600156826402406,0.46001568264024056,0,0.0
44,0.6679999999999999,0.0,1.0,0.19999999999999996,0.6270148985082286,0.42701489850822855,0,0.0
45,0.6649999999999999,0.0,1.0,0.19999999999999996,0.5956641535828171,0.3956641535828171,0,0.0
46,0.6619999999999999,0.0,1.0,0.19999999999999996,0.5658809459036762,0.3658809459036762,0,0.0
47,0.6589999999999999,0.0,1.0,0.19999999999999996,0.5375868986084924,0.3375868986084924,0,0.0
48,0.6559999999999999,0.0,1.0,0.19999999999999996,0.5107075536780677,0.31070755367806774,0,0.0
49,0.6529999999999999,0.0,1.0,0.19999999999999996,0.9021415107356135,0.7021415107356135,0,0.0
50,0.6499999999999999,0.0,1.0,0.19999999999999996,0.9804283021471227,0.7804283021471228,0,0.0
51,0.6469999999999999,0.0,1.0,0.19999999999999996,0.9960856604294246,0.7960856604294246,0,0.0
52,0.6439999999999999,0.0,1.0,0.19999999999999996,0.9992171320858849,0.799217132085885,0,0.0
53,0.6409999999999999,0.0,1.0,0.19999999999999996,0.9998434264171769,0.799843426417177,0,0.0
54,0.6379999999999999,0.0,1.0,0.19999999999999996,0.9999686852834354,0.7999686852834353,0,0.0
55,0.6349999999999999,0.0,1.0,0.19999999999999996,0.999993737056687,0.799993737056687,0,0.0
56,0.6319999999999999,0.0,1.0,0.19999999999999996,0.9999987474113374,0.7999987474113375,0,0.0
57,0.6289999999999999,0.0,1.0,0.19999999999999996,0.9999997494822674,0.7999997494822675,0,0.0
58,0.6259999999999999,0.0,1.0,0.19999999999999996,0.9999999498964535,0.7999999498964534,0,0.0
59,0.6229999999999999,0.0,1.0,0.19999999999999996,0.9999999899792907,0.7999999899792907,0,0.0
60,0.6199999999999999,0.0,1.0,0.19999999999999996,0.9999999979958581,0.7999999979958581,0,0.0
61,0.6169999999999999,0.0,1.0,0.19999999999999996,0.9999999995991716,0.7999999995991716,0,0.0
62,0.6139999999999999,0.0,1.0,0.19999999999999996,0.949999999619213,0.749999999619213,0,0.0
63,0.6109999999999999,0.0,1.0,0.19999999999999996,0.9024999996382523,0.7024999996382524,0,0.0
64,0.6079999999999999,0.0,1.0,0.19999999999999996,0.8573749996563397,0.6573749996563396,0,0.0
65,0.6049999999999999,0.0,1.0,0.19999999999999996,0.8145062496735227,0.6145062496735227,0,0.0
66,0.6019999999999999,0.0,1.0,0.19999999999999996,0.7737809371898465,0.5737809371898466,0,0.0
67,0.5989999999999999,0.0,1.0,0.19999999999999996,0.7350918903303542,0.5350918903303541,0,0.0
68,0.5959999999999999,0.0,1.0,0.19999999999999996,0.9470183780660708,0.7470183780660709,0,0.0
69,0.5929999999999999,0.0,1.0,0.19999999999999996,0.9894036756132142,0.7894036756132141,0,0.0
70,0.5899999999999999,0.0,1.0,0.19999999999999996,0.9978807351226429,0.7978807351226429,0,0.0
71,0.5869999999999999,0.0,1.0,0.19999999999999996,0.9995761470245286,0.7995761470245286,0,0.0
72,0.5839999999999999,0.0,1.0,0.19999999999999996,0.9999152294049057,0.7999152294049057,0,0.0
73,0.5809999999999998,0.0,1.0,0.19999999999999996,0.9999830458809812,0.7999830458809811,0,0.0
74,0.5779999999999998,0.0,1.0,0.19999999999999996,0.9999966091761963,0.7999966091761963,0,0.0
75,0.5749999999999998,0.0,1.0,0.19999999999999996,0.9999993218352392,0.7999993218352393,0,0.0
76,0.5719999999999998,0.0,1.0,0.19999999999999996,0.9999998643670478,0.7999998643670478,0,0.0
77,0.5689999999999998,0.0,1.0,0.19999999999999996,0.9999999728734096,0.7999999728734095,0,0.0
78,0.5659999999999998,0.0,1.0,0.19999999999999996,0.9999999945746819,0.7999999945746818,0,0.0
79,0.5629999999999998,0.0,1.0,0.19999999999999996,0.9999999989149364,0.7999999989149364,0,0.0
80,0.5599999999999998,0.0,1.0,0.19999999999999996,0.9999999997829873,0.7999999997829872,0,0.0
81,0.5569999999999998,0.0,1.0,0.19999999999999996,0.9999999999565975,0.7999999999565974,0,0.0
82,0.5539999999999998,0.0,1.0,0.19999999999999996,0.9999999999913195,0.7999999999913194,0,0.0
83,0.5509999999999998,0.0,1.0,0.19999999999999996,0.9999999999982639,0.7999999999982639,0,0.0
84,0.5479999999999998,0.0,1.0,0.19999999999999996,0.9999999999996528,0.7999999999996528,0,0.0
85,0.5449999999999998,0.0,1.0,0.19999999999999996,0.9999999999999306,0.7999999999999305,0,0.0
86,0.5419999999999998,0.0,1.0,0.19999999999999996,0.9999999999999861,0.7999999999999861,0,0.0
87,0.5389999999999998,0.0,1.0,0.19999999999999996,0.9999999999999972,0.7999999999999972,0,0.0
88,0.5359999999999998,0.0,1.0,0.19999999999999996,0.9999999999999994,0.7999999999999994,0,0.0
89,0.5329999999999998,0.0,1.0,0.19999999999999996,0.9499999999999994,0.7499999999999993,0,0.0
90,0.5299999999999998,0.0,1.0,0.19999999999999996,0.9024999999999994,0.7024999999999995,0,0.0
91,0.5269999999999998,0.0,1.0,0.19999999999999996,0.8573749999999994,0.6573749999999994,0,0.0
92,0.5239999999999998,0.0,1.0,0.19999999999999996,0.9714749999999999,0.7714749999999999,0,0.0
93,0.5209999999999998,0.0,1.0,0.19999999999999996,0.9942949999999999,0.794295,0,0.0
94,0.5179999999999998,0.0,1.0,0.19999999999999996,0.9988589999999999,0.798859,0,0.0
95,0.5149999999999998,0.0,1.0,0.19999999999999996,0.9489160499999999,0.7489160499999998,0,0.0
96,0.5119999999999998,0.0,1.0,0.19999999999999996,0.9014702474999998,0.7014702474999999,0,0.0
97,0.5089999999999998,0.0,1.0,0.19999999999999996,0.8563967351249998,0.6563967351249997,0,0.0
98,0.5059999999999998,0.0,1.0,0.19999999999999996,0.8135768983687498,0.6135768983687497,0,0.0
99,0.5029999999999998,0.0,1.0,0.19999999999999996,0.7728980534503123,0.5728980534503123,0,0.0
100,0.4999999999999998,2.220446049250313e-16,1.0,0.19999999999999996,0.7342531507777966,0.5342531507777966,0,0.0
