step,energy,energy_drive,novelty,novelty_drive,safety,safety_drive,visited,exploration_pct
1,0.797,0.0,0.9966666666666667,0.19666666666666666,0.8,0.6000000000000001,1,0.3
2,0.794,0.0,0.9933333333333333,0.19333333333333325,0.96,0.76,2,0.7
3,0.791,0.0,0.9933333333333333,0.19333333333333325,0.992,0.792,2,0.7
4,0.788,0.0,0.99,0.18999999999999995,0.9423999999999999,0.7424,3,1.0
5,0.785,0.0,0.99,0.18999999999999995,0.98848,0.7884800000000001,3,1.0
6,0.782,0.0,0.99,0.18999999999999995,0.997696,0.797696,3,1.0
7,0.779,0.0,0.99,0.18999999999999995,0.9995392,0.7995391999999999,3,1.0
8,0.776,0.0,0.99,0.18999999999999995,0.99990784,0.7999078399999999,3,1.0
9,0.773,0.0,0.9866666666666667,0.18666666666666665,0.999981568,0.799981568,4,1.3
10,0.77,0.0,0.9866666666666667,0.18666666666666665,0.9999963136,0.7999963135999999,4,1.3
11,0.767,0.0,0.9866666666666667,0.18666666666666665,0.99999926272,0.7999992627199999,4,1.3
12,0.764,0.0,0.9866666666666667,0.18666666666666665,0.999999852544,0.799999852544,4,1.3
13,0.761,0.0,0.9833333333333333,0.18333333333333324,0.9499998599168,0.7499998599168001,5,1.7
14,0.758,0.0,0.9833333333333333,0.18333333333333324,0.90249986692096,0.7024998669209599,5,1.7
15,0.755,0.0,0.9833333333333333,0.18333333333333324,0.8573748735749119,0.6573748735749119,5,1.7
16,0.752,0.0,0.9833333333333333,0.18333333333333324,0.8145061298961663,0.6145061298961663,5,1.7
17,0.749,0.0,0.9833333333333333,0.18333333333333324,0.773780823401358,0.5737808234013579,5,1.7
18,0.746,0.0,0.9833333333333333,0.18333333333333324,0.7350917822312901,0.5350917822312902,5,1.7
19,0.743,0.0,0.98,0.17999999999999994,0.6983371931197256,0.49833719311972563,6,2.0
20,0.74,0.0,0.9766666666666667,0.17666666666666664,0.6634203334637393,0.4634203334637393,7,2.3
21,0.737,0.0,0.9766666666666667,0.17666666666666664,0.6302493167905523,0.4302493167905523,7,2.3
22,0.734,0.0,0.9733333333333334,0.17333333333333334,0.5987368509510247,0.3987368509510247,8,2.7
23,0.731,0.0,0.9733333333333334,0.17333333333333334,0.5688000084034734,0.36880000840347343,8,2.7
24,0.728,0.0,0.9733333333333334,0.17333333333333334,0.5403600079832998,0.34036000798329974,8,2.7
25,0.725,0.0,0.9733333333333334,0.17333333333333334,0.5133420075841347,0.3133420075841347,8,2.7
26,0.722,0.0,0.9733333333333334,0.17333333333333334,0.48767490720492795,0.28767490720492794,8,2.7
27,0.719,0.0,0.9733333333333334,0.17333333333333334,0.46329116184468155,0.26329116184468154,8,2.7
28,0.716,0.0,0.9733333333333334,0.17333333333333334,0.44012660375244744,0.24012660375244743,8,2.7
29,0.713,0.0,0.9733333333333334,0.17333333333333334,0.41812027356482506,0.21812027356482505,8,2.7
30,0.71,0.0,0.9733333333333334,0.17333333333333334,0.39721425988658376,0.19721425988658375,8,2.7
31,0.707,0.0,0.9733333333333334,0.17333333333333334,0.37735354689225453,0.17735354689225452,8,2.7
32,0.704,0.0,0.9733333333333334,0.17333333333333334,0.3584858695476418,0.15848586954764177,8,2.7
33,0.701,0.0,0.9733333333333334,0.17333333333333334,0.8716971739095283,0.6716971739095283,8,2.7
34,0.698,0.0,0.9733333333333334,0.17333333333333334,0.9743394347819057,0.7743394347819057,8,2.7
